title,isgood
"Error message displayed when submitting feedback on the 'Feedback' page",good
"Image upload fails with an 'Invalid File Type' error on the 'Profile' page",good
"Text in the 'Help' section is not visible in dark mode",good
"Date selection widget is not working on the 'Event' creation page",good
"The 'Reload' button on the 'Data' page does not refresh the content",good
"The 'Next' button is missing on the 'Onboarding' screen after completing steps",good
"Error 404 occurs when accessing 'User Settings' from the 'Profile' page",good
"Search autocomplete suggestions are not showing up on the 'Search' page",good
"Form submission fails with '500 Internal Server Error' on the 'Contact' page",good
"The 'Profile' picture does not display correctly after upload on the 'Account' page",good
"Notifications panel does not update with new notifications on the 'Notifications' page",good
"Application crashes when accessing the 'Analytics' page with specific data filters",good
"The 'Remove' button does not function on the 'Cart' page when removing items",good
"The 'Reset' button does not clear fields on the 'Search' page",good
"Dropdown menu options are not displaying correctly on the 'Settings' page",good
"The 'View Details' link is broken on the 'Items' page leading to a 404 error",good
"Text input fields are not validating properly on the 'Registration' form",good
"App issue",bad
"Error in system",bad
"Bug on page",bad
"Crash when saving",bad
"Page not working",bad
"Something went wrong",bad
"Problem with login",bad
"App error",bad
"Issue in the app",bad
"Bug in form",bad
"Error message",bad
"Problem with button",bad
"Failure on page",bad
"Form not loading",bad
"App fails",bad
"Error with user profile",bad
"System crash",bad
"Problem with filters",bad
"App not responding",bad
"Issue with sync",bad
"Page not found",bad
"Application error",bad
"Bug in data",bad
"System issue",bad
"Error in navigation",bad
"Crash in app",bad
"Form issue",bad
"Bug with settings",bad
"Error in feature",bad
"App issue with display",bad
"Failure in sync",bad
"Page issue",bad
"Button not working",bad
"Problem in system",bad
"Application problem",bad
"Form not saving",bad
"Crash on save",bad
"Issue with page",bad
"Error in process",bad
"App not working",bad
"Issue with user input",bad
"Problem in app",bad
"Form crash",bad
"Page error",bad
"Error with application",bad
"System bug",bad
"Failure in process",bad
"Bug in page load",bad
"App not functioning",bad
"Issue with download",bad
"Error in content",bad
"Bug with display",bad
"Crash on page",bad
"Problem with data",bad
"Error in sync",bad
"Application freeze",bad
"Form error",bad
"Bug with profile",bad
"Page crash",bad
"Issue in settings",bad
"Application not loading",bad
"Error in feature",bad
"Crash on click",bad
"Bug in process",bad
"Issue with application",bad
"Error in user interface",bad
"Form does not load",bad
"Bug in sync",bad
"System issue with page",bad
"Application problem",bad
"Error with form",bad
"Issue with app features",bad
"Crash in profile",bad
"Page load error",bad
"Error in button",bad
"Application error in sync",bad
"Form crashes",bad
"Page error message",bad
"Issue with settings page",bad
"Application fails",bad
"Error in content display",bad
"Bug in app interface",bad
"System failure",bad
"Error in feature",bad
"Page crashes",bad
"App sync issue",bad
"Problem with button functionality",bad
"Error with profile update",bad
"Application not syncing",bad
"Bug with page features",bad
"System crash",bad
"Error in navigation menu",bad
"Application issue with form",bad
"Page functionality issue",bad
"Form not working",bad
"Application load error",bad
"Bug with system process",bad
"Error in profile page",bad
"Page does not work",bad
"Application failure",bad
